text,label
"Urgent hiring! Earn Rs.50000 per week from home. No experience needed. Send Rs.500 registration fee to join our team. WhatsApp only: 9876543210",1
"We are pleased to invite you for a technical interview for the Software Engineer position at Infosys. Please confirm your availability for Monday at 11 AM.",0
"Congratulations! You have been selected for a data entry job. Earn Rs.800 per hour. No qualification required. Pay Rs.999 joining fee. Call now!",1
"Dear Candidate, we reviewed your resume on LinkedIn and would like to discuss a Backend Developer opportunity. Please reply with your availability.",0
"URGENT: Limited seats available! Work from home and earn Rs.2 lakh per month. Anyone can apply. No target no pressure. WhatsApp us immediately.",1
"This is to confirm your interview at 2:30 PM on Wednesday for the Data Analyst role. Please bring your original documents and a copy of your resume.",0
"Hi friend, I have a golden opportunity for you. Earn daily Rs.3000 just by liking posts on Instagram. No experience needed. 100% genuine. DM now!",1
"We are conducting a campus recruitment drive for BE/BTech freshers. Roles available in software development. Apply through our official portal.",0
"GUARANTEED JOB!!! Pay only Rs.1500 security deposit and get placed in top MNC. Money back guarantee. Apply now before slots fill up!!!",1
"Your application for the Marketing Executive role has been received. Our HR team will contact you within 5 business days.",0
"Work at home. Part time. Earn Rs.15000-50000 monthly. No experience no qualification. Just share our products on WhatsApp. Join now for free!",1
"We are hiring a Senior Data Scientist with 3+ years of experience in Python and ML. Please apply through our careers page at careers.techcorp.com.",0
"Dear candidate, you are selected for online data typing job. Salary Rs.25000 per week. No interview required. Send Aadhaar and bank account details.",1
"Thank you for attending the interview. We are happy to extend an offer for the position of Business Analyst. Please find the offer letter attached.",0
"EARN FROM HOME! Type and earn Rs.500 per page. No boss no office. Be your own boss. Unlimited earning potential. Contact on WhatsApp only.",1
"We found your profile on Naukri.com and would like to invite you to apply for a Product Manager role at our company. Here is the JD.",0
"ALERT: You have won a job offer at Amazon! Salary 8 LPA. No interview no exam. Just pay Rs.2000 processing fee. Limited time offer!!!",1
"Greetings from TCS HR. This is to inform you that your written test result is positive. Your HR round is scheduled for Friday at 10 AM.",0
"Exciting opportunity! Work from home. Earn Rs.800 per hour doing simple tasks. Housewives and students welcome. Registration fee Rs.499 only.",1
"We are looking for a Java Developer with Spring Boot experience. This is a full-time remote role with competitive salary. Apply on LinkedIn.",0
"100% genuine online job! Earn Rs.50000 monthly from mobile. No experience needed. No target. Direct selection. WhatsApp: 9988776655",1
"Your resume has been shortlisted for the Cloud Engineer position. The interview will be conducted via Zoom. Link shared on your registered email.",0
"Make money fast! Join our MLM network. Earn Rs.5000 per referral. Work from home. Be financially free. Contact immediately. Limited spots!",1
"Dear Applicant, we regret to inform you that after careful consideration, we have selected another candidate for this position. We wish you well.",0
"Easy job alert! Earn Rs.1000 daily just by sharing links on social media. No skill required. Part time. Join free! WhatsApp 9876501234.",1
"We are pleased to confirm your selection as a Software Trainee. Your joining date is the 1st of next month. HR will send the onboarding details.",0
"Work from home and earn without investment. Earn Rs.500 to Rs.2000 per day. Simple tasks. WhatsApp only. No office no interview. Act now!",1
"This is a reminder for your final round interview at Wipro tomorrow at 3 PM. Please carry two copies of your resume and your ID proof.",0
"Urgent! Female candidates needed for airline cabin crew. No experience needed. Direct selection. Pay Rs.5000 for uniform. WhatsApp immediately.",1
"We have reviewed your portfolio and are excited to offer you a freelance content writing project. The rate is Rs.3 per word for 10 articles.",0
"Government job! Earn Rs.30000 per month working from home. No interview. Apply now by paying Rs.200 registration. Limited posts available.",1
"Your profile has been selected for a Summer Internship in Machine Learning at our Bangalore office. Stipend is Rs.15000 per month.",0
"WORK FROM HOME DATA ENTRY!!! Earn Rs.800 per page. No experience. Freshers welcome. Housewives students retired all can apply. Send Rs.600 fee.",1
"We are excited to have you join our team. Please find attached your offer letter and onboarding schedule for your role as UI/UX Designer.",0
"Online job offer! No interview direct selection! Earn Rs.2 lakh monthly. Students and housewives can also apply. Pay Rs.499 and start today!",1
"Dear candidate thank you for appearing in the interview. We are happy to offer you the position of HR Executive with a CTC of 3.5 LPA.",0
"Make extra income from home. Network marketing job. Earn by referring others. Unlimited income potential. WhatsApp for details. Join now free!",1
